,name,latitude,longitude,address,review,savecount,visitorreviewscore
227,브루커피 강남타워300점,37.4967610,127.0294162,"서울 강남구 테헤란로2길 21 1, 2층",441,"2,000",4.6
228,ESC,37.5033924,127.0398479,서울 강남구 언주로93길 28-2 1층,32,"1,000",
229,김영모과자점 강남구청점,37.5151924,127.0426418,서울 강남구 선릉로126길 6,"2,901","3,000",4.47
230,바이칼리아,37.5263477,127.0344193,"서울 강남구 언주로168길 10 , 1층(신사동)",133,"3,000",
231,윈스커피,37.5086385,127.0576622,서울 강남구 테헤란로83길 18 1층,176,600,
232,플르서라구뜨,37.5271830,127.0365076,서울 강남구 압구정로46길 23 Fleurs sur la route,61,"1,000",
233,휙휙쉐이크 가로수길점,37.5208061,127.0220686,서울 강남구 압구정로10길 42 휙휙쉐이크,757,900,4.87
234,Cafe4gil25,37.5214518,127.0208539,서울 강남구 압구정로4길 25 Cafe4gil25,37,100,
235,웰컴투유토피아,37.5204662,127.0396608,서울 강남구 선릉로141길 4,4,"1,000",
236,롤린우드,37.5218116,127.0427406,서울 강남구 도산대로62길 26 1층 롤린우드,80,"3,000",
237,플랑플랑,37.5114834,127.0561588,서울 강남구 봉은사로84길 30 1층 플랑플랑,247,"11,000",4.52
238,알에비뉴,37.5261964,127.0395353,서울 강남구 압구정로56길 26 1층,348,"10,000",4.2
239,꼼다비뛰드,37.5033778,127.0295283,서울 강남구 강남대로110길 62 지하1층,518,"24,000",4.81
240,디저트로이,37.5269510,127.0348828,"서울 강남구 압구정로42길 30 101,102호",209,"2,000",4.44
241,앤더슨씨 청담점,37.5240046,127.0401338,서울 강남구 도산대로55길 7 헤이븐빌딩,308,"16,000",4.34
242,웻커피 신사,37.5199334,127.0200648,서울 강남구 강남대로162길 18 1층,308,"14,000",4.43
243,아우어베이커리 싸이더스점,37.5127079,127.0427351,서울 강남구 선릉로 629 싸이더스HQ타워 A동 1층,"1,716","5,000",4.41
244,페인팅룸,37.5266312,127.0356495,서울 강남구 언주로170길 24 은미르빌딩 B1 페인팅룸,375,"2,000",4.91
245,겟썸커피 Sinsa store,37.5224458,127.0244718,서울 강남구 논현로159길 46-6,503,"13,000",4.51
246,지유가오카핫초메 압구정로데오점,37.5278189,127.0383211,서울 강남구 압구정로50길 7 정동상가 102호,484,"2,000",4.54
