tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,store_N,rest_N,day_pop,night_pop,2nPrc_str,2nPrc,평당가격,가성비,가성비_Rank,floor_estate,floor_buliding
월세,600,"6,000",175,3/6,서향,37.550557,126.917584,8571,28,252,44,7,1,360.13432376243765,2,108,81,508151.67,471457.29,"600*24+6,000",204000000.0,1165714.2857142857,0.007352573529411765,106,3,6
월세,"1,100","1억 5,000",385,2/5,서향,37.549917,126.920016,7825,30,247,51,8,1,349.86813631338345,2,103,71,508151.67,471457.29,"1,100*24+1억 5,000",414000000.0,1075324.6753246754,0.007276871980676328,107,2,5
월세,85,"1,000",68,B1/4,북동향,37.54609,126.941907,3253,30,20,6,6,1,187.46377406377903,8,15,7,508151.67,471457.29,"85*24+1,000",30400000.0,447058.82352941175,0.007276447368421053,108,B1,4
월세,500,"5,000",132,1/4,남동향,37.553498,126.920239,9360,41,128,46,5,0,611.700811559671,2,83,49,508151.67,471457.29,"500*24+5,000",170000000.0,1287878.7878787878,0.007267764705882353,109,1,4
월세,350,"3,000",140,2/5,남동향,37.548375,126.918224,5890,31,250,48,9,2,413.4882204814926,2,103,68,508151.67,471457.29,"350*24+3,000",114000000.0,814285.7142857143,0.007233333333333333,110,2,5
월세,180,"2,500",62,5/5,북향,37.548357,126.920592,7825,24,250,45,6,1,211.60736009641292,2,92,62,508151.67,471457.29,"180*24+2,500",68200000.0,1100000.0,0.007113636363636364,111,5,5
월세,148,"1,000",33,1/3,남향,37.54811,126.918959,9743,30,250,47,7,2,345.9931978720273,2,98,64,508151.67,471457.29,"148*24+1,000",45520000.0,1379393.9393939395,0.007063246924428822,112,1,3
월세,180,"2,000",64,B1/3,남동향,37.555903,126.923982,6945,33,123,48,8,1,189.0818517560052,2,81,43,508151.67,471457.29,"180*24+2,000",63200000.0,987500.0,0.0070329113924050635,113,B1,3
월세,320,"5,000",104,B1/2,남동향,37.549593,126.917084,8571,29,249,46,8,1,295.24407060897454,2,107,73,508151.67,471457.29,"320*24+5,000",126800000.0,1219230.7692307692,0.0070298422712933755,114,B1,2
월세,120,"2,000",90,1/6,남서향,37.548544,126.956746,3797,22,0,4,8,0,577.3617125849746,2,11,9,508151.67,471457.29,"120*24+2,000",48800000.0,542222.2222222222,0.007002663934426229,115,1,6
월세,260,"2,500",49,1/6,남향,37.557169,126.927921,12424,25,115,47,5,1,223.91405482623307,2,74,40,508151.67,471457.29,"260*24+2,500",87400000.0,1783673.469387755,0.006965400457665904,116,1,6
월세,85,"1,300",113,B1/4,서향,37.539101,126.94794,2045,34,18,3,3,1,184.693455844532,6,19,12,508151.67,471457.29,"85*24+1,300",33400000.0,295575.22123893804,0.0069187125748503,117,B1,4
월세,260,"3,000",123,B1/3,남향,37.576251,126.89437,5185,25,1,2,9,0,522.0793456610044,2,7,1,508151.67,471457.29,"260*24+3,000",92400000.0,751219.512195122,0.0069021103896103895,118,B1,3
월세,250,"3,000",94,2/4,남향,37.546027,126.915947,6583,22,120,20,5,1,428.79666947945344,2,58,38,508151.67,471457.29,"250*24+3,000",90000000.0,957446.8085106383,0.006875577777777778,119,2,4
월세,360,"5,000",142,2/5,남향,37.54903,126.916466,6583,32,227,39,8,1,245.1829014191364,2,99,67,508151.67,471457.29,"360*24+5,000",136400000.0,960563.3802816902,0.006853269794721407,120,2,5
월세,360,"5,000",142,2/5,남향,37.54906,126.916351,6583,32,223,39,8,1,234.5904161331016,2,99,67,508151.67,471457.29,"360*24+5,000",136400000.0,960563.3802816902,0.006853269794721407,121,2,5
월세,"1,200","1억 5,000",320,1/3,남향,37.554443,126.918869,9360,45,111,39,5,0,650.3526106310052,2,78,45,508151.67,471457.29,"1,200*24+1억 5,000",438000000.0,1368750.0,0.006838356164383562,122,1,3
월세,60,500,39,B1/5,남동향,37.536834,126.944531,3380,24,26,2,5,1,328.7642197755558,0,10,7,508151.67,471457.29,60*24+500,19400000.0,497435.89743589744,0.006794845360824742,123,B1,5
